Epoch,Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation pAUC
1,0.0001,0.6637841074965721,0.6049743890762329,0.7420531058311463,0.550000011920929,0.6585366129875183,0.20769231021404266,0.31578946113586426,0.03924272308887692
2,0.0001,0.6189394184323245,0.6481345891952515,1.204693284034729,0.5461538434028625,0.78125,0.12820513546466827,0.22026431560516357,0.08424444606780787
3,0.0001,0.6027704359487046,0.6528895497322083,4.056978311538696,0.5346153974533081,0.7647058963775635,0.10000000149011612,0.17687074840068817,0.031124260355029573
4,0.0001,0.5970005878182345,0.654352605342865,0.9904703545570374,0.550000011920929,0.5287187099456787,0.9205127954483032,0.6716557741165161,0.037258382642998016
5,0.0001,0.5895379466372866,0.6733723878860474,2.507729229927063,0.557692289352417,0.7586206793785095,0.16923077404499054,0.276729553937912,0.04417339071185224
6,1e-05,0.5572519156821939,0.6627652049064636,0.567582768201828,0.678205132484436,0.6204506158828735,0.9179487228393555,0.7404343485832214,0.08747520377793327
7,1e-05,0.5501862272273662,0.686539888381958,0.6039714598655701,0.6551281809806824,0.6016806960105896,0.9179487228393555,0.7269035577774048,0.07465803947980305
8,1e-05,0.5397263034138569,0.686539888381958,0.5838809955120087,0.678205132484436,0.7455830574035645,0.5410256385803223,0.6270430684089661,0.08926160733853039
9,1e-05,0.5277413386245107,0.7011704444885254,1.5529238319396972,0.6038461327552795,0.7547169923782349,0.3076923191547394,0.437158465385437,0.05112594053619694
10,1e-05,0.5383290360833324,0.6971470713615417,1.5915390396118163,0.5987179279327393,0.7483870983123779,0.2974359095096588,0.42568808794021606,0.05477975016436553
11,1.0000000000000002e-06,0.5324101170828176,0.6978785991668701,0.5353080558776856,0.7025641202926636,0.6473880410194397,0.8897435665130615,0.7494600415229797,0.09738067061143982
12,1.0000000000000002e-06,0.5327301527871642,0.6945866942405701,0.5645194983482361,0.6794871687889099,0.7302631735801697,0.5692307949066162,0.639769434928894,0.09121499013806703
13,1.0000000000000002e-06,0.5348705389471942,0.683247983455658,0.5965719759464264,0.6628205180168152,0.6070826053619385,0.9230769276618958,0.7324516773223877,0.08551939513477971
14,1.0000000000000002e-06,0.5098693100518958,0.7264081835746765,1.2876092672348023,0.6487179398536682,0.8152173757553101,0.38461539149284363,0.5226480960845947,0.06894918399786946
15,1.0000000000000002e-06,0.5225033153628194,0.709583044052124,0.5816729474067688,0.6705127954483032,0.7333333492279053,0.535897433757782,0.619259238243103,0.09077584317637365
16,1.0000000000000002e-07,0.5276576485051665,0.6975128054618835,0.8807480299472809,0.656410276889801,0.7459677457809448,0.4743589758872986,0.5799372792243958,0.0867510801164647
17,1.0000000000000002e-07,0.5149979837412058,0.7092172503471375,0.6298465216159821,0.6974359154701233,0.7692307829856873,0.5641025900840759,0.6508875489234924,0.09185169531323374
18,1.0000000000000002e-07,0.5357454779536225,0.6953182220458984,0.8331566429138184,0.6794871687889099,0.7822580933570862,0.49743589758872986,0.6081504821777344,0.08348613661611007
19,1.0000000000000002e-07,0.5273806823547497,0.6953182220458984,1.1141288208961486,0.6576923131942749,0.7685589790344238,0.4512820541858673,0.5686591267585754,0.07682351836197988
20,1.0000000000000002e-07,0.5183699799831524,0.7114118933677673,0.5571535003185272,0.6948717832565308,0.7420381903648376,0.5974358916282654,0.6619318127632141,0.08670567931314535
